Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
4200,0.0152
4202,0.0152
4204,0.0152
4206,0.0154
4208,0.0156
4210,0.0156
4212,0.0156
4214,0.0156
4216,0.0156
4218,0.0152
4220,0.0152
4222,0.0153
4224,0.0152
4226,0.0153
4228,0.0152
4230,0.0153
4232,0.0153
4234,0.0153
4236,0.0153
4238,0.0151
4240,0.0151
4242,0.0152
4244,0.0151
4246,0.015
4248,0.0153
4250,0.0152
4252,0.0151
4254,0.0152
4256,0.0152
4258,0.0171
4260,0.0183
4262,0.0187
4264,0.0192
4266,0.0195
4268,0.0194
4270,0.0157
4272,0.0156
4274,0.0156
4276,0.0152
4278,0.015
4280,0.0151
4282,0.0155
4284,0.0155
4286,0.0156
4288,0.0156
4290,0.016
4292,0.0165
4294,0.0163
4296,0.0163
4298,0.0175
4300,0.0186
4302,0.0195
4304,0.0198
4306,0.0201
4308,0.0205
4310,0.0192
4312,0.0168
4314,0.0151
4316,0.0151
4318,0.0151
4320,0.0151
4322,0.0151
4324,0.0151
4326,0.0152
4328,0.0153
4330,0.0152
4332,0.0153
4334,0.0153
4336,0.0155
4338,0.0154
4340,0.0153
4342,0.0154
4344,0.0155
4346,0.0153
4348,0.0153
4350,0.0153
4352,0.0155
4354,0.0154
4356,0.0154
4358,0.0155
4360,0.0164
4362,0.0164
4364,0.0164
4366,0.0167
4368,0.0172
4370,0.0172
4372,0.0167
4374,0.0173
4376,0.0175
4378,0.0169
4380,0.0167
4382,0.0168
4384,0.0153
4386,0.0152
4388,0.0153
4390,0.0153
4392,0.0152
4394,0.0153
4396,0.0154
4398,0.0154
4400,0.016
4402,0.0162
4404,0.0164
4406,0.0166
4408,0.0167
4410,0.0162
4412,0.0154
4414,0.0155
4416,0.0155
4418,0.0155
4420,0.0156
4422,0.0156
4424,0.0155
4426,0.0156
4428,0.0157
4430,0.0157
4432,0.0162
4434,0.0168
4436,0.017
4438,0.0205
4440,0.0219
4442,0.0228
4444,0.0229
4446,0.0235
4448,0.0351
4450,0.0331
4452,0.0346
4454,0.0421
4456,0.159
4458,0.9493
4460,1.1386
4462,1.1978
4464,1.2563
4466,1.299
4468,0.657
4470,0.0522
4472,0.0217
4474,0.0194
4476,0.0181
4478,0.017
4480,0.0166
4482,0.0165
4484,0.016
4486,0.0161
4488,0.0158
4490,0.0158
4492,0.0157
4494,0.0155
4496,0.0155
4498,0.0154
4500,0.0155
4502,0.0155
4504,0.0153
4506,0.0155
4508,0.0154
4510,0.0154
4512,0.0154
4514,0.0152
4516,0.0151
4518,0.0152
4520,0.0151
4522,0.0153
4524,0.0152
4526,0.0153
4528,0.0153
4530,0.0154
4532,0.0152
4534,0.0152
4536,0.0151
4538,0.0152
4540,0.0151
4542,0.0152
4544,0.0153
4546,0.0151
4548,0.0152
4550,0.0151
4552,0.0151
4554,0.0151
4556,0.0151
4558,0.015
4560,0.0151
4562,0.0152
4564,0.015
4566,0.0152
4568,0.015
4570,0.0152
4572,0.0151
4574,0.0151
4576,0.015
4578,0.0151
4580,0.0152
4582,0.0152
4584,0.0153
4586,0.0152
4588,0.0153
4590,0.0153
4592,0.0151
4594,0.0151
4596,0.0151
4598,0.015
4600,0.0149
4602,0.0151
4604,0.015
4606,0.015
4608,0.015
4610,0.015
4612,0.0154
4614,0.0156
4616,0.0156
4618,0.0156
4620,0.0157
4622,0.0154
4624,0.0152
4626,0.0152
4628,0.0152
4630,0.015
4632,0.0152
4634,0.015
4636,0.0149
4638,0.0149
4640,0.0149
4642,0.015
4644,0.015
4646,0.0147
4648,0.0151
4650,0.015
4652,0.0149
4654,0.015
4656,0.0151
4658,0.015
4660,0.0149
4662,0.0151
4664,0.0152
4666,0.0151
4668,0.0151
4670,0.015
4672,0.0149
4674,0.015
4676,0.0151
4678,0.0153
4680,0.0151
4682,0.015
4684,0.0151
4686,0.015
4688,0.0151
4690,0.015
4692,0.015
4694,0.0149
4696,0.0152
4698,0.0152
4700,0.0152
4702,0.0152
4704,0.0152
4706,0.0153
4708,0.0151
4710,0.015
4712,0.015
4714,0.0151
4716,0.015
4718,0.015
4720,0.0151
4722,0.0152
4724,0.0151
4726,0.0151
4728,0.0148
4730,0.015
4732,0.0151
4734,0.0151
4736,0.0152
4738,0.015
4740,0.0151
4742,0.0149
4744,0.015
4746,0.015
4748,0.0149
4750,0.0147
4752,0.0148
4754,0.0147
4756,0.0146
4758,0.0148
4760,0.0146
4762,0.0146
4764,0.0147
4766,0.0146
4768,0.0146
4770,0.0146
4772,0.0147
4774,0.0147
4776,0.0147
4778,0.0146
4780,0.0147
4782,0.0146
4784,0.0147
4786,0.0146
4788,0.0146
4790,0.0146
4792,0.0147
4794,0.0147
4796,0.0145
4798,0.0146
4800,0.0148
4802,0.0147
4804,0.0149
4806,0.015
4808,0.0148
4810,0.0149
4812,0.015
4814,0.0146
4816,0.0147
4818,0.0146
4820,0.0147
4822,0.0147
4824,0.0147
4826,0.0148
4828,0.0146
4830,0.0146
4832,0.0147
4834,0.0147
4836,0.0148
4838,0.0147
4840,0.0147
4842,0.0147
4844,0.0145
4846,0.0147
4848,0.0147
4850,0.0145
4852,0.0147
4854,0.0145
4856,0.0147
4858,0.0147
4860,0.0147
4862,0.0146
4864,0.0147
4866,0.0147
4868,0.0148
4870,0.0147
4872,0.0147
4874,0.0147
4876,0.0147
4878,0.0148
4880,0.0147
4882,0.0147
4884,0.0146
4886,0.0145
4888,0.0146
4890,0.0146
4892,0.0146
4894,0.0145
4896,0.0146
