Wavelength (Å) - Plot 0	Signal Amplitude (V) - Plot 0
4400	0.016
4402	0.0162
4404	0.0164
4406	0.0166
4408	0.0167
4410	0.0162
4412	0.0154
4414	0.0155
4416	0.0155
4418	0.0155
4420	0.0156
4422	0.0156
4424	0.0155
4426	0.0156
4428	0.0157
4430	0.0157
4432	0.0162
4434	0.0168
4436	0.017
4438	0.0205
4440	0.0219
4442	0.0228
4444	0.0229
4446	0.0235
4448	0.0351
4450	0.0331
4452	0.0346
4454	0.0421
4456	0.159
4458	0.9493
4460	1.1386
4462	1.1978
4464	1.2563
4466	1.299
4468	0.657
4470	0.0522
4472	0.0217
4474	0.0194
4476	0.0181
4478	0.017
4480	0.0166
4482	0.0165
4484	0.016
4486	0.0161
4488	0.0158
4490	0.0158
4492	0.0157
4494	0.0155
4496	0.0155
4498	0.0154
