Wavelength(10nm),Signal_Amplitude(V)
3240,0.0138
3241,0.0137
3242,0.014
3243,0.0138
3244,0.0138
3245,0.0137
3246,0.0137
3247,0.0139
3248,0.0139
3249,0.0138
3250,0.0138
3251,0.0139
3252,0.0138
3253,0.0138
3254,0.0138
3255,0.0137
3256,0.0138
3257,0.0138
3258,0.0138
3259,0.0138
3260,0.0138
3261,0.0138
3262,0.0138
3263,0.0137
3264,0.0137
3265,0.0138
3266,0.0138
3267,0.0138
3268,0.0138
3269,0.0137
3270,0.0138
3271,0.0137
3272,0.0138
3273,0.0137
3274,0.0138
3275,0.0137
3276,0.0139
3277,0.0139
3278,0.0137
3279,0.0137
3280,0.0138
3281,0.0139
3282,0.0137
3283,0.0137
3284,0.0139
3285,0.0139
3286,0.0139
3287,0.0139
3288,0.0138
3289,0.0138
3290,0.0138
3291,0.0137
3292,0.0139
3293,0.0139
3294,0.0138
3295,0.0138
3296,0.0139
3297,0.0138
3298,0.0138
3299,0.0138
3300,0.0138
3301,0.0138
3302,0.014
3303,0.0138
3304,0.0138
3305,0.0138
3306,0.0139
3307,0.014
3308,0.0138
3309,0.0139
3310,0.0139
3311,0.0138
3312,0.014
3313,0.0139
3314,0.0138
3315,0.014
3316,0.0139
3317,0.0138
3318,0.014
3319,0.0139
3320,0.0138
3321,0.0139
3322,0.0139
3323,0.0138
3324,0.0139
3325,0.0139
3326,0.0138
3327,0.014
3328,0.014
3329,0.0139
3330,0.0139
3331,0.0139
3332,0.0139
3333,0.0139
3334,0.0139
3335,0.014
3336,0.0141
3337,0.014
3338,0.014
3339,0.0141
3340,0.0141
3341,0.014
3342,0.014
3343,0.014
3344,0.0139
3345,0.014
3346,0.0141
3347,0.014
3348,0.0141
3349,0.0141
3350,0.0141
3351,0.0142
3352,0.0141
3353,0.0141
3354,0.0141
3355,0.014
3356,0.0141
3357,0.0142
3358,0.014
3359,0.0141
3360,0.0142
3361,0.0141
3362,0.0142
3363,0.0143
3364,0.0142
3365,0.014
3366,0.0144
3367,0.0142
3368,0.0144
3369,0.0142
3370,0.0142
3371,0.0144
3372,0.0142
3373,0.0141
3374,0.0143
3375,0.0145
3376,0.0143
3377,0.0143
3378,0.0143
3379,0.0143
3380,0.0144
3381,0.0145
3382,0.0145
3383,0.0144
3384,0.0144
3385,0.0144
3386,0.0143
3387,0.0142
3388,0.0142
3389,0.0144
3390,0.0144
3391,0.0143
3392,0.0142
3393,0.0143
3394,0.0142
3395,0.0143
3396,0.0144
3397,0.0144
3398,0.0144
3399,0.0144
3400,0.0143
3401,0.0144
3402,0.0143
3403,0.0143
3404,0.0144
3405,0.0143
3406,0.0144
3407,0.0143
3408,0.0144
3409,0.0143
3410,0.0142
3411,0.0144
3412,0.0143
3413,0.0143
3414,0.0142
3415,0.0143
3416,0.014
3417,0.0141
3418,0.0143
3419,0.0142
3420,0.0142
3421,0.0141
3422,0.0142
3423,0.0141
3424,0.0142
3425,0.0142
3426,0.0143
3427,0.0143
3428,0.0141
3429,0.0143
3430,0.0141
3431,0.0141
3432,0.0141
3433,0.0139
3434,0.0141
3435,0.0141
3436,0.014
3437,0.0141
3438,0.0141
3439,0.0141
3440,0.0142
3441,0.0141
3442,0.0141
3443,0.0142
3444,0.0141
3445,0.0142
3446,0.014
3447,0.0141
3448,0.0142
3449,0.014
3450,0.0141
3451,0.0142
3452,0.0142
3453,0.0142
3454,0.0141
3455,0.0141
3456,0.0141
3457,0.014
3458,0.0141
3459,0.0141
3460,0.0141
3461,0.0142
3462,0.0142
3463,0.0142
3464,0.0142
3465,0.014
3466,0.0142
3467,0.014
3468,0.0141
3469,0.0142
3470,0.0141
3471,0.0142
3472,0.0142
3473,0.0142
3474,0.0141
3475,0.0143
3476,0.0142
3477,0.0141
3478,0.0142
3479,0.0141
3480,0.014
3481,0.0141
3482,0.0141
3483,0.0142
3484,0.0142
3485,0.0142
3486,0.0142
3487,0.0142
3488,0.0143
3489,0.0142
3490,0.0142
3491,0.0142
3492,0.0143
3493,0.0143
3494,0.0142
3495,0.0141
3496,0.0142
3497,0.0142
3498,0.0141
3499,0.0142
3500,0.0143
3501,0.0142
3502,0.0142
3503,0.0142
