Wavelength(10nm),Signal_Amplitude(V)
3240.1,0.015
3241.1,0.0151
3242.1,0.015
3243.1,0.0149
3244.1,0.015
3245.1,0.0149
3246.1,0.0152
3247.1,0.0151
3248.1,0.0151
3249.1,0.0151
3250.1,0.0152
3251.1,0.0151
3252.1,0.0151
3253.1,0.0151
3254.1,0.0152
3255.1,0.0152
3256.1,0.0152
3257.1,0.0152
3258.1,0.0151
3259.1,0.015
3260.1,0.015
3261.1,0.0151
3262.1,0.0151
3263.1,0.015
3264.1,0.0152
3265.1,0.0152
3266.1,0.0151
3267.1,0.0152
3268.1,0.0152
3269.1,0.015
3270.1,0.0152
3271.1,0.015
3272.1,0.0151
3273.1,0.0152
3274.1,0.0152
3275.1,0.0152
3276.1,0.0151
3277.1,0.0152
3278.1,0.0152
3279.1,0.015
3280.1,0.0152
3281.1,0.0153
3282.1,0.0152
3283.1,0.0155
3284.1,0.0155
3285.1,0.0153
3286.1,0.0152
3287.1,0.0152
3288.1,0.0152
3289.1,0.0152
3290.1,0.0154
3291.1,0.0154
3292.1,0.0155
3293.1,0.0154
3294.1,0.0154
3295.1,0.0154
3296.1,0.0153
3297.1,0.0153
3298.1,0.0154
3299.1,0.0152
3300.1,0.0154
3301.1,0.0155
3302.1,0.0156
3303.1,0.0156
3304.1,0.0156
3305.1,0.0155
3306.1,0.0154
3307.1,0.0154
3308.1,0.0153
3309.1,0.0155
3310.1,0.0154
3311.1,0.0156
3312.1,0.0156
3313.1,0.0156
3314.1,0.0156
3315.1,0.0155
3316.1,0.0154
3317.1,0.0154
3318.1,0.0153
3319.1,0.0153
3320.1,0.0154
3321.1,0.0155
3322.1,0.0156
3323.1,0.0155
3324.1,0.0156
3325.1,0.0154
3326.1,0.0156
3327.1,0.0155
3328.1,0.0155
3329.1,0.0155
3330.1,0.0155
3331.1,0.0157
3332.1,0.0155
3333.1,0.0156
3334.1,0.0156
3335.1,0.0157
3336.1,0.0156
3337.1,0.0157
3338.1,0.0155
3339.1,0.0156
3340.1,0.0156
3341.1,0.0157
3342.1,0.0157
3343.1,0.0157
3344.1,0.0156
3345.1,0.0157
3346.1,0.0158
3347.1,0.0158
3348.1,0.0159
3349.1,0.0157
3350.1,0.0157
3351.1,0.0157
3352.1,0.0157
3353.1,0.0156
3354.1,0.0159
3355.1,0.0157
3356.1,0.016
3357.1,0.0159
3358.1,0.016
3359.1,0.016
3360.1,0.0158
3361.1,0.0159
3362.1,0.0158
3363.1,0.0158
3364.1,0.0159
3365.1,0.0159
3366.1,0.016
3367.1,0.016
3368.1,0.0158
3369.1,0.0161
3370.1,0.0163
3371.1,0.0162
3372.1,0.016
3373.1,0.0159
3374.1,0.0161
3375.1,0.0161
