Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
3480.1,0.0144
3485.1,0.0145
3490.1,0.0145
3495.1,0.0145
3500.1,0.0147
3505.1,0.0145
3510.1,0.0145
3515.1,0.0146
3520.1,0.0145
3525.1,0.0144
3530.1,0.0145
3535.1,0.0145
3540.1,0.0145
3545.1,0.0143
3550.1,0.0146
3555.1,0.0145
3560.1,0.0145
3565.1,0.0145
3570.1,0.0145
3575.1,0.0145
3580.1,0.0147
3585.1,0.0145
3590.1,0.0147
3595.1,0.0145
3600.1,0.0145
3605.1,0.0147
3610.1,0.0146
3615.1,0.0146
3620.1,0.0147
3625.1,0.0147
3630.1,0.0145
3635.1,0.0147
3640.1,0.0148
3645.1,0.0147
3650.1,0.0147
3655.1,0.0147
3660.1,0.0144
3665.1,0.0146
3670.1,0.0146
3675.1,0.0147
3680.1,0.0147
3685.1,0.0146
3690.1,0.0146
3695.1,0.0147
3700.1,0.0147
3705.1,0.0146
3710.1,0.0145
3715.1,0.0147
3720.1,0.0147
3725.1,0.0147
3730.1,0.0146
3735.1,0.0147
3740.1,0.0146
3745.1,0.0145
3750.1,0.0147
3755.1,0.0146
3760.1,0.0147
3765.1,0.0146
3770.1,0.0147
3775.1,0.0147
3780.1,0.0147
3785.1,0.0146
3790.1,0.0147
3795.1,0.0148
3800.1,0.0148
3805.1,0.0146
3810.1,0.0147
3815.1,0.0145
3820.1,0.0147
3825.1,0.0147
3830.1,0.0147
3835.1,0.0146
3840.1,0.0147
3845.1,0.015
3850.1,0.0148
3855.1,0.0146
3860.1,0.0149
3865.1,0.0148
3870.1,0.0148
3875.1,0.0146
3880.1,0.0146
3885.1,0.015
3890.1,0.0153
3895.1,0.0157
3900.1,0.0148
3905.1,0.0148
3910.1,0.0147
3915.1,0.0147
3920.1,0.0147
3925.1,0.0151
3930.1,0.0158
3935.1,0.0165
3940.1,0.0148
3945.1,0.0146
3950.1,0.0148
3955.1,0.0149
3960.1,0.0148
3965.1,0.0149
3970.1,0.0148
3975.1,0.0148
3980.1,0.0156
3985.1,0.0173
3990.1,0.0158
3995.1,0.0146
4000.1,0.0147
4005.1,0.0146
4010.1,0.0147
4015.1,0.0148
4020.1,0.0146
4025.1,0.0147
4030.1,0.0146
4035.1,0.0147
4040.1,0.0147
4045.1,0.0147
4050.1,0.0148
4055.1,0.0146
4060.1,0.0174
4065.1,0.0206
4070.1,0.0293
4075.1,0.0207
4080.1,0.0148
4085.1,0.0149
4090.1,0.0149
4095.1,0.0148
4100.1,0.0148
4105.1,0.0148
4110.1,0.0146
4115.1,0.0147
4120.1,0.0149
4125.1,0.0147
4130.1,0.0148
4135.1,0.0148
4140.1,0.0147
4145.1,0.0147
4150.1,0.0147
4155.1,0.0151
4160.1,0.0153
4165.1,0.0151
4170.1,0.015
4175.1,0.0149
4180.1,0.0151
4185.1,0.0158
4190.1,0.0246
4195.1,0.0338
4200.1,0.0781
4205.1,0.0154
4210.1,0.0149
4215.1,0.0149
4220.1,0.0148
4225.1,0.0148
4230.1,0.0149
4235.1,0.015
4240.1,0.0149
4245.1,0.0148
4250.1,0.0149
4255.1,0.0149
4260.1,0.0149
4265.1,0.0151
4270.1,0.015
4275.1,0.015
4280.1,0.015
4285.1,0.0149
4290.1,0.0148
4295.1,0.015
4300.1,0.015
4305.1,0.0151
4310.1,0.0151
4315.1,0.015
4320.1,0.0148
4325.1,0.0146
4330.1,0.0146
4335.1,0.0148
4340.1,0.0147
4345.1,0.0147
4350.1,0.0149
4355.1,0.0146
4360.1,0.0147
4365.1,0.0148
4370.1,0.0147
4375.1,0.0149
4380.1,0.0148
4385.1,0.0149
4390.1,0.0149
4395.1,0.0148
4400.1,0.015
4405.1,0.015
4410.1,0.0149
4415.1,0.0148
4420.1,0.0153
4425.1,0.0157
4430.1,0.0683
4435.1,0.1112
4440.1,0.3287
4445.1,0.2803
4450.1,0.0154
4455.1,0.0151
4460.1,0.015
4465.1,0.0149
4470.1,0.0151
4475.1,0.0148
4480.1,0.0149
4485.1,0.0149
4490.1,0.015
4495.1,0.0148
4500.1,0.0149
4505.1,0.015
4510.1,0.0153
4515.1,0.0153
4520.1,0.0152
4525.1,0.0151
4530.1,0.0148
4535.1,0.015
4540.1,0.0149
4545.1,0.0151
4550.1,0.0154
4555.1,0.0151
4560.1,0.0153
4565.1,0.0151
4570.1,0.0149
4575.1,0.0151
4580.1,0.0151
4585.1,0.0152
4590.1,0.0156
4595.1,0.0151
4600.1,0.0156
4605.1,0.0151
4610.1,0.015
4615.1,0.0153
4620.1,0.0151
4625.1,0.0151
4630.1,0.0152
4635.1,0.0153
4640.1,0.0152
4645.1,0.015
4650.1,0.0152
4655.1,0.0152
4660.1,0.0152
4665.1,0.0153
4670.1,0.0154
4675.1,0.0157
4680.1,0.0158
4685.1,0.0153
4690.1,0.015
4695.1,0.015
4700.1,0.015
4705.1,0.015
4710.1,0.0152
4715.1,0.015
4720.1,0.0154
4725.1,0.0155
4730.1,0.0161
4735.1,0.0161
4740.1,0.0152
4745.1,0.0152
4750.1,0.0153
4755.1,0.0152
4760.1,0.0151
4765.1,0.015
4770.1,0.015
4775.1,0.0149
4780.1,0.015
4785.1,0.0151
4790.1,0.0149
4795.1,0.0147
4800.1,0.0148
4805.1,0.0146
4810.1,0.0149
4815.1,0.0149
4820.1,0.0149
4825.1,0.0147
4830.1,0.0147
4835.1,0.0149
4840.1,0.0148
4845.1,0.0148
4850.1,0.0147
4855.1,0.0145
4860.1,0.0145
4865.1,0.0147
4870.1,0.0147
4875.1,0.0145
4880.1,0.0147
4885.1,0.0148
4890.1,0.0148
4895.1,0.0148
4900.1,0.0149
4905.1,0.0147
4910.1,0.015
4915.1,0.0149
4920.1,0.0151
4925.1,0.0153
4930.1,0.0156
4935.1,0.016
4940.1,0.0167
4945.1,0.0194
4950.1,0.1443
4955.1,0.26
4960.1,1.2776
4965.1,1.1157
4970.1,0.0211
