Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
3241,0.0138
3242,0.0137
3243,0.0139
3244,0.0137
3245,0.0138
3246,0.0139
3247,0.0138
3248,0.0137
3249,0.0138
3250,0.0138
3251,0.0138
3252,0.0138
3253,0.0138
3254,0.0138
3255,0.0138
3256,0.0138
3257,0.0138
3258,0.0137
3259,0.0137
3260,0.0138
3261,0.0138
3262,0.0138
3263,0.014
3264,0.0138
3265,0.0138
3266,0.0139
3267,0.0136
3268,0.0137
3269,0.0137
3270,0.0139
3271,0.0138
3272,0.0138
3273,0.0138
3274,0.0138
3275,0.0138
3276,0.0138
3277,0.0139
3278,0.0138
3279,0.0139
3280,0.0138
3281,0.0138
3282,0.0138
3283,0.0138
3284,0.0138
3285,0.014
3286,0.0139
3287,0.0138
3288,0.014
3289,0.0138
3290,0.0137
3291,0.0137
3292,0.0138
3293,0.0138
3294,0.0139
3295,0.0138
3296,0.0138
3297,0.0138
3298,0.0139
3299,0.0138
3300,0.0137
3301,0.0139
3302,0.0138
3303,0.0138
3304,0.0139
3305,0.0138
3306,0.0137
3307,0.0138
3308,0.0138
3309,0.0138
3310,0.0138
3311,0.0139
3312,0.0137
3313,0.0137
3314,0.0138
3315,0.0137
3316,0.0139
3317,0.0138
3318,0.0138
3319,0.0139
3320,0.014
3321,0.0139
3322,0.0138
3323,0.0137
3324,0.014
3325,0.0139
3326,0.0137
3327,0.0138
3328,0.0137
3329,0.0139
3330,0.0138
3331,0.0138
3332,0.0138
3333,0.0138
3334,0.0138
3335,0.0138
3336,0.0138
3337,0.0138
3338,0.0138
3339,0.0138
3340,0.0137
3341,0.0139
3342,0.0137
3343,0.0136
3344,0.0138
3345,0.0138
3346,0.0137
3347,0.0138
3348,0.0138
3349,0.0139
3350,0.0138
3351,0.014
3352,0.0138
3353,0.014
3354,0.0139
3355,0.0139
3356,0.0136
3357,0.0138
3358,0.0137
3359,0.0139
3360,0.0138
3361,0.0139
3362,0.0139
3363,0.0138
3364,0.0138
3365,0.0138
3366,0.014
3367,0.0139
3368,0.014
3369,0.0138
3370,0.0138
3371,0.0138
3372,0.0139
3373,0.0139
3374,0.0137
3375,0.0139
3376,0.0138
3377,0.0137
3378,0.0139
3379,0.0139
3380,0.0136
3381,0.0138
3382,0.0137
3383,0.0139
3384,0.0139
3385,0.0139
3386,0.014
3387,0.0139
3388,0.0139
3389,0.0138
3390,0.0139
3391,0.0138
3392,0.0137
3393,0.0139
3394,0.0139
3395,0.0138
3396,0.0139
3397,0.0138
3398,0.0139
3399,0.0139
3400,0.0138
3401,0.0139
3402,0.014
3403,0.014
3404,0.0139
3405,0.0138
3406,0.0138
3407,0.0138
3408,0.014
3409,0.0139
3410,0.0139
3411,0.0139
3412,0.014
3413,0.014
3414,0.0139
3415,0.014
3416,0.0139
3417,0.0141
3418,0.0139
3419,0.014
3420,0.0139
3421,0.0138
3422,0.014
3423,0.0162
3424,0.0183
3425,0.0205
3426,0.0235
3427,0.0256
3428,0.0275
3429,0.028
3430,0.0306
3431,0.0327
3432,0.0334
3433,0.0338
3434,0.0337
3435,0.0332
3436,0.0316
3437,0.028
3438,0.0272
3439,0.0239
3440,0.0213
3441,0.0199
3442,0.0177
3443,0.0164
3444,0.0153
3445,0.0145
3446,0.0143
3447,0.0142
3448,0.0141
3449,0.0143
3450,0.0143
3451,0.0143
3452,0.0144
3453,0.0143
3454,0.0144
3455,0.0145
3456,0.0145
3457,0.0144
3458,0.0144
3459,0.0146
3460,0.0146
3461,0.0146
3462,0.0145
3463,0.0145
3464,0.0147
3465,0.0145
3466,0.0144
3467,0.0146
3468,0.0145
3469,0.0145
3470,0.0147
3471,0.0148
3472,0.0146
3473,0.0146
3474,0.0146
3475,0.0146
3476,0.0147
3477,0.0145
3478,0.0146
3479,0.0147
3480,0.0146
3481,0.0145
3482,0.0147
3483,0.0147
3484,0.0146
3485,0.0146
3486,0.0145
3487,0.0146
3488,0.0146
3489,0.0146
3490,0.0146
3491,0.0145
3492,0.0146
3493,0.0146
3494,0.0146
3495,0.0145
3496,0.0146
3497,0.0148
3498,0.0145
3499,0.0146
3500,0.0146
3501,0.0145
3502,0.0145
3503,0.0146
3504,0.0145
3505,0.0145
3506,0.0146
3507,0.0145
3508,0.0146
3509,0.0145
3510,0.0145
3511,0.0146
3512,0.0147
3513,0.0145
3514,0.0145
3515,0.0145
3516,0.0145
3517,0.0146
3518,0.0145
3519,0.0145
3520,0.0145
3521,0.0145
3522,0.0145
3523,0.0145
3524,0.0145
3525,0.0145
3526,0.0146
3527,0.0145
3528,0.0145
3529,0.0146
3530,0.0147
3531,0.0145
3532,0.0143
3533,0.0145
3534,0.0145
3535,0.0145
3536,0.0145
3537,0.0144
3538,0.0146
3539,0.0145
3540,0.0144
3541,0.0143
3542,0.0144
3543,0.0144
3544,0.0145
3545,0.0145
3546,0.0145
3547,0.0145
3548,0.0145
3549,0.0144
3550,0.0143
3551,0.0146
3552,0.0145
3553,0.0145
3554,0.0144
3555,0.0145
3556,0.0145
3557,0.0146
3558,0.0144
3559,0.0145
3560,0.0147
3561,0.0145
3562,0.0145
3563,0.0146
3564,0.0146
3565,0.0144
3566,0.0145
3567,0.0146
3568,0.0145
3569,0.0146
3570,0.0146
3571,0.0145
3572,0.0147
3573,0.0145
3574,0.0148
3575,0.0146
3576,0.0146
3577,0.0146
3578,0.0146
3579,0.0146
3580,0.0145
3581,0.0145
3582,0.0146
3583,0.0147
3584,0.0147
3585,0.0147
3586,0.0148
3587,0.0147
3588,0.0146
3589,0.0147
3590,0.0146
3591,0.0146
3592,0.0148
3593,0.0148
3594,0.0148
3595,0.0147
3596,0.0147
3597,0.0148
3598,0.0149
3599,0.0146
3600,0.0149
3601,0.0149
3602,0.0148
3603,0.015
3604,0.015
3605,0.0152
3606,0.0151
3607,0.0153
3608,0.0153
3609,0.0155
3610,0.0155
3611,0.0154
3612,0.0154
3613,0.0154
3614,0.0152
3615,0.0153
3616,0.0152
3617,0.0149
3618,0.0149
3619,0.0149
3620,0.0151
3621,0.0149
3622,0.0149
3623,0.015
3624,0.015
3625,0.0149
3626,0.0151
3627,0.015
3628,0.0149
3629,0.015
3630,0.015
3631,0.015
3632,0.0149
3633,0.0149
3634,0.0151
3635,0.015
3636,0.0152
3637,0.0152
3638,0.015
3639,0.0154
3640,0.0154
3641,0.0154
