Block_material,Thickness_claim,Block_thickness(mm),Err(mm),Peak_height Cs(Run2),Folder_name Cs,Peak_height Na(Run2),Folder_name Na
Pb,1.058,0.925,0.005,450,4-24-46 PM,499,12-44-20 PM
Pb,0.43,0.855,0.005,450,4-38-10 PM,485,1-01-36 PM
Pb,6.58,6.159,0.005,230,4-46-18 PM,224,12-51-33 PM
Pb,5.365,5.253,0.005,230,4-53-09 PM,204,12-55-15 PM
Pb,0.52,0.93,0.005,400,5-00-39 PM,460,12-47-44 PM
Pb,0.57,1.465,0.005,400,5-04-09 PM,458,1-07-03 PM
Cu,15.25,15.26,0.005,170,3-02-11 PM,213,1-13-06 PM
Cu,6.33,6.396,0.005,289,2-57-51 PM,377,1-17-06 PM
Cu,2.14,2.17,0.005,361,2-53-43 PM,492,1-22-36 PM
Cu,0.751,0.78,0.005,443,2-49-02 PM,536,1-26-11 PM
Cu,0.752,0.78,0.005,403,2-39-27 PM,505,1-29-42 PM
Al,25.43,25.465,0.005,274,2-18-34 PM,344,1-33-41 PM
Al,15.01,14.995,0.005,341,2-14-57 PM,404,1-37-19 PM
Al,9.715,9.815,0.005,362,2-10-25 PM,454,1-41-02 PM
Al,6.42,6.481,0.005,381,2-06-49 PM,525,1-45-01 PM
Al,1.05,1.049,0.005,420,2-02-29 PM,558,1-48-47 PM
Al,0.8,0.828,0.005,421,1-58-46 PM,573,1-52-47 PM
