ratio,input_voltage,output,error ,"16, 4.5 gain"
28.224,0.01771542,1.94897,0.0025,double-peak
31.584,0.0158308,1.76036,0.0025,
39.79584,0.012564127,1.4146,0.0025,
44.8,0.011160714,1.26672,0.001,
56.448,0.00885771,1.00157,0.0005,
71.064,0.007035911,0.78875,0.0005,
89.6,0.005580357,0.63159,0.0005,
112.896,0.004428855,0.50152,0.0002,
141,0.003546099,0.39427,0.0002,
200,0.0025,0.28202,0.0002,
28.224,0.01771542,1.85101,0.001,"16, 4 gain"
31.584,0.0158308,1.65581,0.001,
39.79584,0.012564127,1.32665,0.001,
44.8,0.011160714,1.18749,0.00025,
56.448,0.00885771,0.94034,0.00025,
71.064,0.007035911,0.74143,0.00025,
89.6,0.005580357,0.59262,0.00025,
112.896,0.004428855,0.47653,0.00025,
141,0.003546099,0.37034,0.0005,
200,0.0025,0.26495,0.0005,
