A	B	A'	B'	A'B	AB	AB'	A'B'	HWP_A	HWP_B	E	Comments:	Duration (s)	Sub. Acc.?
49649.27	91033.87	0.00	0.00	0.00	2068.60	0.00	0.00	270.00	28.00	1.00		15.0	N
52790.60	91524.60	0.00	0.00	0.00	1911.88	0.00	0.00	281.25	28.00	1.00		15.0	N
59309.53	91174.33	0.00	0.00	0.00	1294.86	0.00	0.00	292.50	28.00	1.00		15.0	N
65909.53	90814.07	0.00	0.00	0.00	594.01	0.00	0.00	303.75	28.00	1.00		15.0	N
69755.53	90658.53	0.00	0.00	0.00	134.76	0.00	0.00	315.00	28.00	1.00		15.0	N
67498.80	91521.87	0.00	0.00	0.00	284.29	0.00	0.00	326.25	28.00	1.00		15.0	N
60226.27	90382.27	0.00	0.00	0.00	810.50	0.00	0.00	337.50	28.00	1.00		15.0	N
51298.87	90448.13	0.00	0.00	0.00	1596.00	0.00	0.00	348.75	28.00	1.00		15.0	N
47415.40	90400.00	0.00	0.00	0.00	2006.74	0.00	0.00	0.00	28.00	1.00		15.0	N
47587.00	94568.47	0.00	0.00	0.00	1840.53	0.00	0.00	0.00	39.25	1.00		15.0	N
51230.93	94257.60	0.00	0.00	0.00	1783.24	0.00	0.00	348.75	39.25	1.00		15.0	N
59591.00	95237.53	0.00	0.00	0.00	1337.51	0.00	0.00	337.50	39.25	1.00		15.0	N
66760.40	94818.80	0.00	0.00	0.00	770.37	0.00	0.00	326.25	39.25	1.00		15.0	N
68864.80	94249.13	0.00	0.00	0.00	374.83	0.00	0.00	315.00	39.25	1.00		15.0	N
65150.53	94304.00	0.00	0.00	0.00	430.49	0.00	0.00	303.75	39.25	1.00		15.0	N
57648.87	94274.73	0.00	0.00	0.00	892.19	0.00	0.00	292.50	39.25	1.00		15.0	N
50542.87	94376.20	0.00	0.00	0.00	1498.63	0.00	0.00	281.25	39.25	1.00		15.0	N
49265.20	96148.20	0.00	0.00	0.00	1892.77	0.00	0.00	270.00	39.25	1.00		15.0	N
49472.27	107897.53	0.00	0.00	0.00	1275.82	0.00	0.00	270.00	50.50	1.00		15.0	N
50946.47	107245.87	0.00	0.00	0.00	856.03	0.00	0.00	281.25	50.50	1.00		15.0	N
58511.40	107555.47	0.00	0.00	0.00	704.47	0.00	0.00	292.50	50.50	1.00		15.0	N
65276.40	107101.67	0.00	0.00	0.00	839.15	0.00	0.00	303.75	50.50	1.00		15.0	N
70496.40	112827.60	0.00	0.00	0.00	1266.86	0.00	0.00	315.00	50.50	1.00		15.0	N
66243.80	107251.93	0.00	0.00	0.00	1592.35	0.00	0.00	326.25	50.50	1.00		15.0	N
59585.27	107236.80	0.00	0.00	0.00	1754.24	0.00	0.00	337.50	50.50	1.00		15.0	N
51186.73	107167.87	0.00	0.00	0.00	1570.08	0.00	0.00	348.75	50.50	1.00		15.0	N
47196.13	107151.13	0.00	0.00	0.00	1207.83	0.00	0.00	0.00	50.50	1.00		15.0	N
51432.13	138257.27	0.00	0.00	0.00	622.36	0.00	0.00	0.00	61.75	1.00		15.0	N
51408.40	122175.67	0.00	0.00	0.00	1090.59	0.00	0.00	348.75	61.75	1.00		15.0	N
59431.47	121836.87	0.00	0.00	0.00	1865.92	0.00	0.00	337.50	61.75	1.00		15.0	N
66297.60	121897.40	0.00	0.00	0.00	2287.25	0.00	0.00	326.25	61.75	1.00		15.0	N
68906.67	121719.67	0.00	0.00	0.00	2169.26	0.00	0.00	315.00	61.75	1.00		15.0	N
65234.93	122650.40	0.00	0.00	0.00	1521.26	0.00	0.00	303.75	61.75	1.00		15.0	N
57845.40	121842.53	0.00	0.00	0.00	820.12	0.00	0.00	292.50	61.75	1.00		15.0	N
50785.80	121667.53	0.00	0.00	0.00	391.08	0.00	0.00	281.25	61.75	1.00		15.0	N
49516.27	123398.00	0.00	0.00	0.00	521.90	0.00	0.00	270.00	61.75	1.00		15.0	N
48839.67	129609.73	0.00	0.00	0.00	130.10	0.00	0.00	270.00	73.00	1.00		15.0	N
52253.67	133138.87	0.00	0.00	0.00	390.70	0.00	0.00	281.25	73.00	1.00		15.0	N
58820.33	130898.20	0.00	0.00	0.00	1279.94	0.00	0.00	292.50	73.00	1.00		15.0	N
