A	B	A'	B'	A'B	AB	AB'	A'B'	HWP_A	HWP_B	E	Comments:	Duration (s)	Sub. Acc.?
60206.60	108872.13	0.00	0.00	0.00	2241.99	0.00	0.00	225.00	-17.00	1.00		15.0	N
59911.20	109035.40	0.00	0.00	0.00	2073.68	0.00	0.00	236.25	-17.00	1.00		15.0	N
59265.00	108767.27	0.00	0.00	0.00	1458.21	0.00	0.00	247.50	-17.00	1.00		15.0	N
61911.60	121952.27	0.00	0.00	0.00	777.70	0.00	0.00	258.75	-17.00	1.00		15.0	N
58403.13	108809.13	0.00	0.00	0.00	143.12	0.00	0.00	270.00	-17.00	1.00		15.0	N
58055.40	108995.47	0.00	0.00	0.00	289.19	0.00	0.00	281.25	-17.00	1.00		15.0	N
58265.53	109062.73	0.00	0.00	0.00	976.79	0.00	0.00	292.50	-17.00	1.00		15.0	N
58365.47	108580.27	0.00	0.00	0.00	1760.29	0.00	0.00	303.75	-17.00	1.00		15.0	N
58290.27	108480.00	0.00	0.00	0.00	2196.57	0.00	0.00	315.00	-17.00	1.00		15.0	N
58308.07	108379.07	0.00	0.00	0.00	2019.41	0.00	0.00	315.00	-5.75	1.00		15.0	N
58205.20	108240.20	0.00	0.00	0.00	2079.00	0.00	0.00	303.75	-5.75	1.00		15.0	N
58076.67	108208.13	0.00	0.00	0.00	1620.96	0.00	0.00	292.50	-5.75	1.00		15.0	N
57519.33	108337.00	0.00	0.00	0.00	889.75	0.00	0.00	281.25	-5.75	1.00		15.0	N
57848.47	108197.80	0.00	0.00	0.00	378.61	0.00	0.00	270.00	-5.75	1.00		15.0	N
58405.00	108217.67	0.00	0.00	0.00	351.26	0.00	0.00	258.75	-5.75	1.00		15.0	N
58929.53	108183.53	0.00	0.00	0.00	869.31	0.00	0.00	247.50	-5.75	1.00		15.0	N
59417.33	108282.20	0.00	0.00	0.00	1551.13	0.00	0.00	236.25	-5.75	1.00		15.0	N
59698.60	108135.00	0.00	0.00	0.00	2034.04	0.00	0.00	225.00	-5.75	1.00		15.0	N
59732.80	107052.93	0.00	0.00	0.00	1372.39	0.00	0.00	225.00	5.50	1.00		15.0	N
59651.80	107178.87	0.00	0.00	0.00	822.67	0.00	0.00	236.25	5.50	1.00		15.0	N
58845.13	107005.67	0.00	0.00	0.00	516.83	0.00	0.00	247.50	5.50	1.00		15.0	N
58740.20	106999.53	0.00	0.00	0.00	504.68	0.00	0.00	247.50	5.50	1.00		15.0	N
58317.67	107250.73	0.00	0.00	0.00	658.52	0.00	0.00	258.75	5.50	1.00		15.0	N
58543.27	109120.07	0.00	0.00	0.00	1164.98	0.00	0.00	270.00	5.50	1.00		15.0	N
58165.93	108840.40	0.00	0.00	0.00	1700.56	0.00	0.00	281.25	5.50	1.00		15.0	N
57850.73	107118.93	0.00	0.00	0.00	2000.90	0.00	0.00	292.50	5.50	1.00		15.0	N
58033.80	107137.27	0.00	0.00	0.00	1904.49	0.00	0.00	303.75	5.50	1.00		15.0	N
58711.40	111630.87	0.00	0.00	0.00	1435.13	0.00	0.00	315.00	5.50	1.00		15.0	N
58006.27	106160.20	0.00	0.00	0.00	865.75	0.00	0.00	315.00	16.75	1.00		15.0	N
57933.40	106213.73	0.00	0.00	0.00	1540.60	0.00	0.00	303.75	16.75	1.00		15.0	N
58013.47	106122.80	0.00	0.00	0.00	2078.37	0.00	0.00	292.50	16.75	1.00		15.0	N
57413.07	106142.73	0.00	0.00	0.00	2142.93	0.00	0.00	281.25	16.75	1.00		15.0	N
58076.20	107741.07	0.00	0.00	0.00	1708.29	0.00	0.00	270.00	16.75	1.00		15.0	N
58016.13	106125.53	0.00	0.00	0.00	1047.36	0.00	0.00	258.75	16.75	1.00		15.0	N
58619.87	106272.00	0.00	0.00	0.00	500.90	0.00	0.00	247.50	16.75	1.00		15.0	N
59330.40	105942.07	0.00	0.00	0.00	437.08	0.00	0.00	236.25	16.75	1.00		15.0	N
59512.80	105342.87	0.00	0.00	0.00	597.17	0.00	0.00	225.00	16.75	1.00	12.5abive	15.0	N
59239.67	105399.67	0.00	0.00	0.00	295.23	0.00	0.00	236.25	16.75	1.00	12.5abive	15.0	N
63488.67	122003.27	0.00	0.00	0.00	847.74	0.00	0.00	247.50	16.75	1.00	12.5abive	15.0	N
60034.40	110657.60	0.00	0.00	0.00	1423.03	0.00	0.00	258.75	16.75	1.00	12.5abive	15.0	N
57586.20	105444.73	0.00	0.00	0.00	2065.28	0.00	0.00	270.00	16.75	1.00	12.5abive	15.0	N
57384.40	105385.27	0.00	0.00	0.00	2322.53	0.00	0.00	281.25	16.75	1.00	12.5abive	15.0	N
57706.33	105371.00	0.00	0.00	0.00	2004.79	0.00	0.00	292.50	16.75	1.00	12.5abive	15.0	N
57884.67	105542.87	0.00	0.00	0.00	1303.84	0.00	0.00	303.75	16.75	1.00	12.5abive	15.0	N
57722.47	105303.33	0.00	0.00	0.00	550.75	0.00	0.00	315.00	16.75	1.00	12.5abive	15.0	N
57512.47	105096.07	0.00	0.00	0.00	134.96	0.00	0.00	315.00	28.00	1.00	12.5abive	15.0	N
57544.40	105172.73	0.00	0.00	0.00	681.88	0.00	0.00	303.75	28.00	1.00		15.0	N
57332.27	105151.20	0.00	0.00	0.00	1530.25	0.00	0.00	292.50	28.00	1.00		15.0	N
57102.00	105665.93	0.00	0.00	0.00	2339.00	0.00	0.00	281.25	28.00	1.00		15.0	N
57230.80	105035.73	0.00	0.00	0.00	2513.09	0.00	0.00	270.00	28.00	1.00		15.0	N
57698.73	105004.73	0.00	0.00	0.00	1984.08	0.00	0.00	258.75	28.00	1.00		15.0	N
58261.93	104893.20	0.00	0.00	0.00	1047.15	0.00	0.00	247.50	28.00	1.00		15.0	N
58818.00	104932.40	0.00	0.00	0.00	330.68	0.00	0.00	236.25	28.00	1.00		15.0	N
